title,meta,headers,body,QueryNumber,map,p10,ndcg10,ndcg1000,bpref,rr
0,0,0,3,288,0.0206,0.3000,0.2341,0.0963,0.0621,1.0000
0,0,0,3,289,0.0003,0.0000,0.0000,0.0167,0.0326,0.0087
0,0,0,3,290,0.0167,0.1000,0.1389,0.0689,0.0322,0.5000
0,0,0,3,291,0.0076,0.1000,0.0364,0.0280,0.0393,0.1667
0,0,0,3,292,0.0128,0.2000,0.1717,0.0797,0.0575,1.0000
0,0,0,3,293,0.0037,0.1000,0.0750,0.0363,0.0326,0.3333
0,0,0,3,294,0.0007,0.1000,0.0663,0.0246,0.0263,0.1111
0,0,0,3,295,0.0504,0.4000,0.4393,0.1608,0.0695,1.0000
0,0,0,3,296,0.0223,0.4000,0.2149,0.0775,0.0378,1.0000
0,0,0,3,297,0.0122,0.3000,0.2989,0.0814,0.0537,1.0000
0,0,0,3,298,0.0137,0.3000,0.0930,0.1391,0.1039,0.3333
0,0,0,3,299,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,0,0,3,300,0.0000,0.0000,0.0000,0.0058,0.0140,0.0015
0,0,0,5,201,0.0417,0.4000,0.1791,0.1403,0.1147,0.3333
0,0,0,5,202,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,0,0,5,203,0.0084,0.1000,0.0694,0.0873,0.1056,0.1250
0,0,0,5,204,0.0366,0.4000,0.2066,0.1518,0.1440,0.2500
0,0,0,5,205,0.0688,0.5000,0.1968,0.1497,0.1408,0.5000
0,0,0,5,206,0.0169,0.1000,0.0402,0.1422,0.1617,0.1250
0,0,0,5,207,0.0322,0.3000,0.0835,0.1315,0.1365,0.1667
0,0,0,5,208,0.0392,0.4000,0.1598,0.1287,0.1085,0.3333
0,0,0,5,209,0.0154,0.1000,0.0722,0.0655,0.0651,0.2000
0,0,0,5,210,0.0054,0.0000,0.0000,0.0720,0.0373,0.0588
0,0,0,5,211,0.0801,0.5000,0.2633,0.2183,0.2125,0.5000
0,0,0,5,212,0.0013,0.0000,0.0000,0.0579,0.0000,0.0076
0,0,0,5,213,0.0182,0.1000,0.0694,0.1460,0.1878,0.1250
0,0,0,5,214,0.0967,0.6000,0.3981,0.2448,0.2124,1.0000
0,0,0,5,215,0.0527,0.2000,0.0945,0.2120,0.2282,0.1667
0,0,0,5,216,0.0611,0.5000,0.2425,0.1793,0.1633,1.0000
0,0,0,5,217,0.0450,0.7000,0.2583,0.1425,0.1440,0.2500
0,0,0,5,218,0.0154,0.2000,0.1526,0.1161,0.1091,1.0000
0,0,0,5,219,0.0011,0.0000,0.0000,0.0314,0.0306,0.0135
0,0,0,5,220,0.0004,0.0000,0.0000,0.0223,0.0187,0.0097
0,0,0,5,221,0.0736,0.3000,0.1560,0.1720,0.1868,1.0000
0,0,0,5,222,0.0685,0.4000,0.2135,0.1802,0.1703,1.0000
