title,meta,headers,body,QueryNumber,map,p10,ndcg10,ndcg1000,bpref,rr
3,0,0,5,436,0.4385,0.2000,0.2675,0.6326,0.6017,1.0000
3,0,0,5,439,0.0420,0.1000,0.0550,0.2809,0.0818,0.3333
3,0,0,5,443,0.2201,0.6000,0.6087,0.5169,0.3784,1.0000
3,0,0,5,448,0.0155,0.0000,0.0000,0.2046,0.0204,0.0303
3,0,0,5,622,0.2950,0.7000,0.7097,0.6373,0.3826,1.0000
3,0,0,5,625,0.0194,0.2000,0.2751,0.1881,0.0222,1.0000
3,0,0,5,638,0.0939,0.3000,0.1057,0.3374,0.2630,0.1667
3,0,0,5,639,0.1836,0.2000,0.0649,0.4827,0.2922,0.1111
3,0,0,5,648,0.5499,1.0000,0.7568,0.7683,0.5398,1.0000
3,0,0,5,650,0.0431,0.1000,0.1053,0.3574,0.0586,0.2500
3,0,0,5,651,0.0120,0.1000,0.0663,0.1703,0.0269,0.1111
3,0,0,5,658,0.1962,0.3000,0.1676,0.5510,0.2513,0.3333
3,0,0,5,689,0.0385,0.1000,0.0694,0.2741,0.1022,0.1250
5,0,0,0,303,0.1235,0.3000,0.2466,0.3579,0.2642,0.2500
5,0,0,0,307,0.0175,0.5000,0.3941,0.1245,0.0947,1.0000
5,0,0,0,310,0.0001,0.0000,0.0000,0.0216,0.0083,0.0017
5,0,0,0,314,0.0002,0.0000,0.0000,0.0167,0.0000,0.0052
5,0,0,0,322,0.0013,0.0000,0.0000,0.0522,0.0000,0.0032
5,0,0,0,325,0.1810,0.0000,0.0000,0.4283,0.4563,0.0625
5,0,0,0,330,0.0715,0.1000,0.1804,0.3454,0.3678,1.0000
5,0,0,0,336,0.1463,0.5000,0.2899,0.3793,0.2732,1.0000
5,0,0,0,341,0.1117,0.1000,0.0704,0.2928,0.1344,0.3333
5,0,0,0,344,0.0256,0.1000,0.1100,0.1911,0.1420,1.0000
5,0,0,0,345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,0,0,0,347,0.0625,0.1000,0.0948,0.2654,0.2468,0.2500
5,0,0,0,353,0.0965,0.4000,0.2978,0.2152,0.1701,0.3333
