schema b QueryNum map p10 ndcg10 ndcg1000 bpref unjudged relString rr 
topTuneBvaried_Hard2005_unifield_b0.0_k1.2 0.0 625 0.0357 0.3000 0.3225 0.2448 0.0528 0 '2011000000' 1.0000
topTuneBvaried_Hard2005_unifield_b0.0_k1.2 0.0 638 0.1388 0.7000 0.3841 0.3521 0.2677 0 '1110110110' 1.0000
topTuneBvaried_Hard2005_unifield_b0.0_k1.2 0.0 639 0.1388 0.3000 0.1075 0.4204 0.2548 0 '0000100011' 0.2000
topTuneBvaried_Hard2005_unifield_b0.0_k1.2 0.0 648 0.3119 0.4000 0.3282 0.6213 0.3796 0 '1200101000' 1.0000
topTuneBvaried_Hard2005_unifield_b0.0_k1.2 0.0 650 0.1027 0.1000 0.1222 0.4550 0.0967 0 '0020000000' 0.3333
topTuneBvaried_Hard2005_unifield_b0.0_k1.2 0.0 651 0.0311 0.0000 0.0000 0.2296 0.0625 0 '0000000000' 0.0588
topTuneBvaried_Hard2005_unifield_b0.0_k1.2 0.0 658 0.3214 0.7000 0.5698 0.6521 0.3749 0 '1022201202' 1.0000
topTuneBvaried_Hard2005_unifield_b0.0_k1.2 0.0 689 0.0228 0.0000 0.0000 0.2058 0.0913 6 '--00-0---0' 0.0714
topTuneBvaried_Hard2005_unifield_b0.15_k1.2 0.15 303 0.4425 0.6000 0.7156 0.8112 0.3737 0 '2222022000' 1.0000
topTuneBvaried_Hard2005_unifield_b0.15_k1.2 0.15 307 0.2983 0.9000 0.5406 0.5037 0.4146 0 '1111210211' 1.0000
topTuneBvaried_Hard2005_unifield_b0.15_k1.2 0.15 310 0.1352 0.6000 0.3939 0.3327 0.1633 0 '1110021001' 1.0000
topTuneBvaried_Hard2005_unifield_b0.15_k1.2 0.15 314 0.0087 0.1000 0.1542 0.1175 0.0139 0 '0200000000' 0.5000
topTuneBvaried_Hard2005_unifield_b0.15_k1.2 0.15 322 0.0083 0.0000 0.0000 0.0920 0.0144 0 '0000000000' 0.0667
topTuneBvaried_Hard2005_unifield_b0.15_k1.2 0.15 325 0.4704 0.5000 0.3864 0.7659 0.6102 0 '1111001000' 1.0000
topTuneBvaried_Hard2005_unifield_b0.15_k1.2 0.15 330 0.2569 0.9000 0.7595 0.6782 0.2215 0 '1111110111' 1.0000
topTuneBvaried_Hard2005_unifield_b0.15_k1.2 0.15 336 0.4774 0.9000 0.4938 0.7284 0.4393 0 '0121111121' 0.5000
topTuneBvaried_Hard2005_unifield_b0.15_k1.2 0.15 341 0.0927 0.2000 0.1558 0.4393 0.1001 0 '0000201000' 0.2000
topTuneBvaried_Hard2005_unifield_b0.15_k1.2 0.15 344 0.0895 0.5000 0.2429 0.3121 0.1297 0 '0110111000' 0.5000
topTuneBvaried_Hard2005_unifield_b0.15_k1.2 0.15 345 0.0383 0.1000 0.0708 0.3042 0.0123 0 '0000000010' 0.1111
topTuneBvaried_Hard2005_unifield_b0.15_k1.2 0.15 347 0.1651 0.5000 0.6325 0.5371 0.1993 0 '2220220000' 1.0000
topTuneBvaried_Hard2005_unifield_b0.15_k1.2 0.15 353 0.0367 0.0000 0.0000 0.2662 0.0000 0 '0000000000' 0.0312
topTuneBvaried_Hard2005_unifield_b0.15_k1.2 0.15 354 0.1160 0.7000 0.7788 0.3999 0.2959 0 '2222200022' 1.0000
topTuneBvaried_Hard2005_unifield_b0.15_k1.2 0.15 362 0.4048 1.0000 0.8176 0.6880 0.4347 0 '1222212212' 1.0000
topTuneBvaried_Hard2005_unifield_b0.15_k1.2 0.15 363 0.1086 0.4000 0.5225 0.4348 0.1566 0 '2200220000' 1.0000
topTuneBvaried_Hard2005_unifield_b0.15_k1.2 0.15 367 0.0632 0.0000 0.0000 0.3708 0.0632 0 '0000000000' 0.0909
topTuneBvaried_Hard2005_unifield_b0.15_k1.2 0.15 372 0.0877 0.2000 0.1490 0.4633 0.0767 0 '0100000001' 0.5000
topTuneBvaried_Hard2005_unifield_b0.15_k1.2 0.15 374 0.6022 0.6000 0.3852 0.8406 0.7613 0 '0020011222' 0.3333
topTuneBvaried_Hard2005_unifield_b0.15_k1.2 0.15 375 0.2518 0.5000 0.4639 0.6909 0.1960 0 '0110100011' 0.5000
topTuneBvaried_Hard2005_unifield_b0.15_k1.2 0.15 378 0.1341 0.0000 0.0000 0.5198 0.1072 0 '0000000000' 0.0667
topTuneBvaried_Hard2005_unifield_b0.15_k1.2 0.15 383 0.0806 0.3000 0.2298 0.3494 0.1352 0 '0000220020' 0.2000
topTuneBvaried_Hard2005_unifield_b0.15_k1.2 0.15 389 0.1407 0.5000 0.2528 0.4450 0.1822 0 '0001111001' 0.2500
topTuneBvaried_Hard2005_unifield_b0.15_k1.2 0.15 393 0.0404 0.0000 0.0000 0.2620 0.0729 0 '0000000000' 0.0909
topTuneBvaried_Hard2005_unifield_b0.15_k1.2 0.15 394 0.4880 1.0000 1.0000 0.7610 0.4493 0 '1111111111' 1.0000
topTuneBvaried_Hard2005_unifield_b0.15_k1.2 0.15 397 0.0485 0.3000 0.3629 0.2370 0.1034 0 '1000001100' 1.0000
topTuneBvaried_Hard2005_unifield_b0.15_k1.2 0.15 399 0.2976 0.9000 0.8454 0.5451 0.4315 0 '2122022222' 1.0000
topTuneBvaried_Hard2005_unifield_b0.15_k1.2 0.15 401 0.0751 0.1000 0.2201 0.4276 0.0822 0 '2000000000' 1.0000
topTuneBvaried_Hard2005_unifield_b0.15_k1.2 0.15 404 0.2529 0.5000 0.3588 0.5785 0.3793 0 '1110210000' 1.0000
topTuneBvaried_Hard2005_unifield_b0.15_k1.2 0.15 408 0.1128 0.2000 0.2751 0.4745 0.0896 0 '2010000000' 1.0000
topTuneBvaried_Hard2005_unifield_b0.15_k1.2 0.15 409 0.3637 0.6000 0.4577 0.7379 0.3851 0 '0210122200' 0.5000
topTuneBvaried_Hard2005_unifield_b0.15_k1.2 0.15 416 0.4391 0.5000 0.2919 0.7702 0.4273 0 '1100101010' 1.0000
topTuneBvaried_Hard2005_unifield_b0.15_k1.2 0.15 419 0.1353 0.3000 0.3024 0.4253 0.1522 0 '0200220000' 0.5000
topTuneBvaried_Hard2005_unifield_b0.15_k1.2 0.15 426 0.1134 0.0000 0.0000 0.3785 0.2333 0 '0000000000' 0.0909
topTuneBvaried_Hard2005_unifield_b0.15_k1.2 0.15 427 0.2805 0.8000 0.7168 0.5795 0.3124 0 '1220202222' 1.0000
topTuneBvaried_Hard2005_unifield_b0.15_k1.2 0.15 433 0.1506 0.4000 0.4776 0.3962 0.1578 0 '2210000002' 1.0000
topTuneBvaried_Hard2005_unifield_b0.15_k1.2 0.15 435 0.1748 0.4000 0.2086 0.5375 0.1910 0 '0011100002' 0.3333
topTuneBvaried_Hard2005_unifield_b0.15_k1.2 0.15 436 0.5035 0.9000 0.8424 0.7114 0.6344 0 '2212222012' 1.0000
topTuneBvaried_Hard2005_unifield_b0.15_k1.2 0.15 439 0.0850 0.3000 0.2345 0.2838 0.1372 0 '1110000000' 1.0000
topTuneBvaried_Hard2005_unifield_b0.15_k1.2 0.15 443 0.2773 0.7000 0.4953 0.5395 0.4083 0 '0222111010' 0.5000
topTuneBvaried_Hard2005_unifield_b0.15_k1.2 0.15 448 0.0113 0.0000 0.0000 0.1816 0.0240 0 '0000000000' 0.0323
topTuneBvaried_Hard2005_unifield_b0.15_k1.2 0.15 622 0.4984 1.0000 0.9261 0.7656 0.5568 0 '2222212122' 1.0000
topTuneBvaried_Hard2005_unifield_b0.15_k1.2 0.15 625 0.0311 0.3000 0.3225 0.2348 0.0403 0 '2011000000' 1.0000
topTuneBvaried_Hard2005_unifield_b0.15_k1.2 0.15 638 0.1596 0.8000 0.4118 0.3617 0.2772 0 '1101111101' 1.0000
topTuneBvaried_Hard2005_unifield_b0.15_k1.2 0.15 639 0.1738 0.1000 0.0367 0.4750 0.2763 0 '0000001000' 0.1429
topTuneBvaried_Hard2005_unifield_b0.15_k1.2 0.15 648 0.4583 0.9000 0.5903 0.6990 0.4871 0 '1201122111' 1.0000
topTuneBvaried_Hard2005_unifield_b0.15_k1.2 0.15 650 0.0889 0.2000 0.1929 0.4413 0.0840 0 '0020000002' 0.3333
topTuneBvaried_Hard2005_unifield_b0.15_k1.2 0.15 651 0.0262 0.0000 0.0000 0.2100 0.0541 0 '0000000000' 0.0556
topTuneBvaried_Hard2005_unifield_b0.15_k1.2 0.15 658 0.2959 0.5000 0.4121 0.6196 0.3499 0 '1021020020' 1.0000
topTuneBvaried_Hard2005_unifield_b0.15_k1.2 0.15 689 0.0327 0.1000 0.0318 0.2449 0.0928 2 '00-0000-01' 0.1000
topTuneBvaried_Hard2005_unifield_b0.1_k1.2 0.1 303 0.4348 0.6000 0.7066 0.8065 0.3748 0 '2222002200' 1.0000
topTuneBvaried_Hard2005_unifield_b0.1_k1.2 0.1 307 0.2912 0.7000 0.4699 0.5007 0.4151 0 '1111210002' 1.0000
topTuneBvaried_Hard2005_unifield_b0.1_k1.2 0.1 310 0.1357 0.6000 0.3939 0.3278 0.1671 0 '1110021001' 1.0000
topTuneBvaried_Hard2005_unifield_b0.1_k1.2 0.1 314 0.0068 0.1000 0.1222 0.1061 0.0142 0 '0020000000' 0.3333
topTuneBvaried_Hard2005_unifield_b0.1_k1.2 0.1 322 0.0070 0.0000 0.0000 0.0796 0.0149 0 '0000000000' 0.0345
topTuneBvaried_Hard2005_unifield_b0.1_k1.2 0.1 325 0.4531 0.6000 0.4316 0.7606 0.5931 0 '1111010100' 1.0000
